date,keyword,rank_absolute,rich_type,engine,domain,share_pct,segment,ai_overview,etv,brand_rank,rank_delta,anomaly,position_group,movement_type,is_brand,competitive_pressure,share_pct_normalized
2024-01-15,ai chatbot,1,,google_web,openai.com,0.25,Central,True,1000,,0,False,top3,stable,False,8,0.8
2024-01-15,ai chatbot,2,,google_web,microsoft.com,0.20,Central,True,800,,-1,False,top3,gain,False,8,0.6
2024-01-15,ai chatbot,3,video,google_web,anthropic.com,0.15,West,True,600,,1,False,top3,loss,False,8,0.4
2024-01-15,ai chatbot,4,,google_web,mybrand.com,0.12,Central,True,400,4,2,True,top10,loss,True,8,0.2
2024-01-15,ai chatbot,8,,google_web,competitor1.com,0.08,East,False,200,,0,False,top10,stable,False,8,0.0
2024-01-15,customer service software,1,,google_web,zendesk.com,0.30,Central,False,1500,,0,False,top3,stable,False,6,1.0
2024-01-15,customer service software,2,shopping_pack,google_web,freshworks.com,0.25,West,False,1200,,-2,False,top3,gain,False,6,0.8
2024-01-15,customer service software,5,,google_web,mybrand.com,0.15,Central,False,600,5,-1,False,top10,gain,True,6,0.4
2024-01-15,customer service software,12,,google_web,intercom.com,0.08,East,False,300,,3,False,top20,loss,False,6,0.0
2024-01-15,help desk solutions,2,,google_web,servicenow.com,0.22,Central,False,800,,1,False,top3,loss,False,5,0.7
2024-01-15,help desk solutions,3,,google_web,mybrand.com,0.20,Central,False,700,3,-2,False,top3,gain,True,5,0.6
2024-01-15,help desk solutions,6,video,google_web,atlassian.com,0.15,West,False,400,,0,False,top10,stable,False,5,0.3
2024-01-15,help desk solutions,15,,google_web,competitor2.com,0.10,East,False,200,,5,True,top20,loss,False,5,0.0
2024-01-15,live chat platform,1,,google_web,intercom.com,0.35,West,True,1200,,0,False,top3,stable,False,7,1.0
2024-01-15,live chat platform,3,,google_web,mybrand.com,0.25,Central,True,900,3,1,False,top3,loss,True,7,0.6
2024-01-15,live chat platform,7,,google_web,drift.com,0.12,East,False,400,,-1,False,top10,gain,False,7,0.2
2024-01-15,live chat platform,11,,google_web,crisp.chat,0.08,West,False,200,,2,False,top20,loss,False,7,0.0
2024-01-15,automated customer support,4,,google_ai,openai.com,0.28,Central,True,800,,0,False,top10,stable,False,4,1.0
2024-01-15,automated customer support,6,,google_ai,mybrand.com,0.18,Central,True,500,6,-3,True,top10,gain,True,4,0.5
2024-01-15,automated customer support,9,,google_ai,ada.cx,0.15,West,True,300,,1,False,top10,loss,False,4,0.3
2024-01-15,automated customer support,18,,google_ai,competitor3.com,0.08,East,False,150,,4,False,top20,loss,False,4,0.0 