Date, Organic pages (Monthly volume - All locations), Organic traffic (Monthly volume - All locations)
2023-08-23, 810, 104425
2023-08-24, 811, 104079
2023-08-25, 815, 104851
2023-08-26, 824, 104807
2023-08-27, 826, 106198
2023-08-28, 825, 105702
2023-08-29, 825, 103357
2023-08-30, 825, 102578
2023-08-31, 826, 100837
2023-09-01, 824, 99740
2023-09-02, 827, 99171
2023-09-03, 825, 99731
2023-09-04, 825, 99142
2023-09-05, 824, 100952
2023-09-06, 826, 100794
2023-09-07, 824, 100403
2023-09-08, 821, 100084
2023-09-09, 821, 99452
2023-09-10, 815, 99499
2023-09-11, 813, 100445
2023-09-12, 812, 98256
2023-09-13, 809, 97244
2023-09-14, 807, 97234
2023-09-15, 805, 97316
2023-09-16, 802, 96842
2023-09-17, 801, 96400
2023-09-18, 800, 96009
2023-09-19, 798, 96135
2023-09-20, 798, 97637
2023-09-21, 796, 97852
2023-09-22, 793, 97285
2023-09-23, 791, 97333
2023-09-24, 789, 97350
2023-09-25, 788, 97021
2023-09-26, 784, 98454
2023-09-27, 782, 98131
2023-09-28, 779, 97159
2023-09-29, 778, 97286
2023-09-30, 778, 97210
2023-10-01, 773, 95907
2023-10-02, 774, 95527
2023-10-03, 772, 96240
2023-10-04, 768, 96362
2023-10-05, 763, 96835
2023-10-06, 761, 97163
2023-10-07, 761, 96409
2023-10-08, 759, 96778
2023-10-09, 757, 96816
2023-10-10, 756, 96780
2023-10-11, 752, 96803
2023-10-12, 749, 95913
2023-10-13, 750, 95823
2023-10-14, 749, 96713
2023-10-15, 743, 96886
2023-10-16, 742, 97293
2023-10-17, 742, 97141
2023-10-18, 743, 95887
2023-10-19, 743, 95873
2023-10-20, 741, 95571
2023-10-21, 742, 95272
2023-10-22, 742, 95403
2023-10-23, 742, 94745
2023-10-24, 740, 97118
2023-10-25, 740, 97062
2023-10-26, 739, 96729
2023-10-27, 737, 96799
2023-10-28, 736, 97505
2023-10-29, 738, 98512
2023-10-30, 737, 120279
2023-10-31, 737, 120111
2023-11-01, 736, 120454
2023-11-02, 736, 118179
2023-11-03, 737, 96575
2023-11-04, 736, 95704
2023-11-05, 734, 98040
2023-11-06, 739, 97735
2023-11-07, 738, 98805
2023-11-08, 737, 107251
2023-11-09, 738, 127641
2023-11-10, 740, 126687
2023-11-11, 739, 127902
2023-11-12, 739, 127856
2023-11-13, 738, 127186
2023-11-14, 736, 120047
2023-11-15, 737, 121526
2023-11-16, 737, 122775
2023-11-17, 739, 132043
2023-11-18, 739, 122804
2023-11-19, 738, 125554
2023-11-20, 740, 132284
2023-11-21, 743, 133049
2023-11-22, 741, 124063
2023-11-23, 743, 117952
2023-11-24, 742, 117374
2023-11-25, 743, 119491
2023-11-26, 745, 121436
2023-11-27, 748, 118213
2023-11-28, 748, 115415
2023-11-29, 751, 115856
2023-11-30, 750, 112600
2023-12-01, 751, 112063
2023-12-02, 751, 110002
2023-12-03, 751, 110605
2023-12-04, 751, 114522
2023-12-05, 753, 135448
2023-12-06, 753, 135459
2023-12-07, 757, 113870
2023-12-08, 758, 112081
2023-12-09, 758, 108506
2023-12-10, 760, 107792
2023-12-11, 760, 106612
2023-12-12, 765, 104945
2023-12-13, 766, 103896
2023-12-14, 765, 102715
2023-12-15, 768, 101673
2023-12-16, 772, 99363
2023-12-17, 772, 99936
2023-12-18, 774, 99497
2023-12-19, 773, 97810
2023-12-20, 773, 96326
2023-12-21, 774, 92677
2023-12-22, 773, 114176
2023-12-23, 772, 113174
2023-12-24, 775, 91106
2023-12-25, 773, 89739
2023-12-26, 772, 88333
2023-12-27, 772, 88522
2023-12-28, 770, 88379
2023-12-29, 770, 88266
2023-12-30, 770, 88266
2023-12-31, 767, 86946
2024-01-01, 765, 115339
2024-01-02, 767, 118613
2024-01-03, 767, 92475
2024-01-04, 768, 94813
2024-01-05, 766, 96376
2024-01-06, 767, 96060
2024-01-07, 765, 96873
2024-01-08, 764, 96724
2024-01-09, 763, 97242
2024-01-10, 762, 96801
2024-01-11, 762, 96168
2024-01-12, 762, 95219
2024-01-13, 762, 95417
2024-01-14, 761, 96711
2024-01-15, 761, 99024
2024-01-16, 761, 99541
2024-01-17, 761, 100069
2024-01-18, 761, 100110
2024-01-19, 761, 103035
2024-01-20, 763, 101077
2024-01-21, 764, 101818
2024-01-22, 763, 102611
2024-01-23, 764, 100123
2024-01-24, 766, 100490
2024-01-25, 764, 100032
2024-01-26, 761, 99215
2024-01-27, 762, 129819
2024-01-28, 762, 132613
2024-01-29, 761, 133893
2024-01-30, 761, 130485
2024-01-31, 760, 130687
2024-02-01, 757, 102273
2024-02-02, 758, 125935
2024-02-03, 758, 101004
2024-02-04, 759, 99902
2024-02-05, 760, 99188
2024-02-06, 762, 96982
2024-02-07, 762, 97767
2024-02-08, 762, 97412
2024-02-09, 762, 96886
2024-02-10, 761, 97380
2024-02-11, 762, 95395
2024-02-12, 763, 96422
2024-02-13, 760, 95489
2024-02-14, 759, 96066
2024-02-15, 756, 97458
2024-02-16, 760, 98426
2024-02-17, 760, 98310
2024-02-18, 762, 98169
2024-02-19, 761, 98143
2024-02-20, 761, 97693
2024-02-21, 763, 97284
2024-02-22, 764, 96688
2024-02-23, 767, 98334
2024-02-24, 769, 98337
2024-02-25, 768, 97342
2024-02-26, 768, 97333
2024-02-27, 769, 96484
2024-02-28, 768, 122476
2024-02-29, 768, 97833
2024-03-01, 764, 122480
2024-03-02, 764, 100234
2024-03-03, 769, 100896
2024-03-04, 770, 100862
2024-03-05, 770, 101825
2024-03-06, 772, 101322
2024-03-07, 773, 100554
2024-03-08, 774, 99915
2024-03-09, 772, 98936
2024-03-10, 772, 98267
2024-03-11, 771, 98965
2024-03-12, 771, 98279
2024-03-13, 772, 99062
2024-03-14, 775, 98624
2024-03-15, 781, 123501
2024-03-16, 787, 98087
2024-03-17, 789, 122983
2024-03-18, 789, 122097
2024-03-19, 787, 100380
2024-03-20, 785, 98068
2024-03-21, 787, 97403
2024-03-22, 787, 97528
2024-03-23, 789, 98315
2024-03-24, 790, 97447
2024-03-25, 792, 98449
2024-03-26, 793, 97844
2024-03-27, 792, 97092
2024-03-28, 796, 97266
2024-03-29, 797, 96613
2024-03-30, 797, 97096
2024-03-31, 798, 97178
2024-04-01, 799, 97293
2024-04-02, 801, 94098
2024-04-03, 806, 92418
2024-04-04, 808, 94754
2024-04-05, 807, 92800
2024-04-06, 805, 94290
2024-04-07, 804, 93737
2024-04-08, 801, 116832
2024-04-09, 798, 93623
2024-04-10, 803, 91805
2024-04-11, 802, 92122
2024-04-12, 799, 91233
2024-04-13, 801, 90370
2024-04-14, 802, 90284
2024-04-15, 803, 90817
2024-04-16, 802, 91385
2024-04-17, 802, 88064
2024-04-18, 804, 89420
2024-04-19, 805, 89459
2024-04-20, 805, 88435
2024-04-21, 802, 88387
2024-04-22, 801, 86781
2024-04-23, 800, 85916
2024-04-24, 798, 85542
2024-04-25, 797, 84489
2024-04-26, 797, 99603
2024-04-27, 796, 86370
2024-04-28, 797, 86287
2024-04-29, 797, 87858
2024-04-30, 798, 86994
2024-05-01, 799, 87483
2024-05-02, 800, 88069
2024-05-03, 800, 87479
2024-05-04, 800, 89314
2024-05-05, 802, 88592
2024-05-06, 802, 89912
2024-05-07, 802, 89059
2024-05-08, 802, 89448
2024-05-09, 802, 89645
2024-05-10, 803, 89146
2024-05-11, 805, 88632
2024-05-12, 803, 88956
2024-05-13, 802, 89106
2024-05-14, 803, 89034
2024-05-15, 803, 87758
2024-05-16, 804, 87095
2024-05-17, 803, 84288
2024-05-18, 803, 82388
2024-05-19, 805, 81170
2024-05-20, 805, 77548
2024-05-21, 803, 77381
2024-05-22, 799, 77125
2024-05-23, 799, 76687
2024-05-24, 800, 75652
2024-05-25, 800, 76151
2024-05-26, 797, 75258
2024-05-27, 792, 74148
2024-05-28, 794, 73288
2024-05-29, 792, 72301
2024-05-30, 790, 70310
2024-05-31, 790, 69235
2024-06-01, 792, 69243
2024-06-02, 793, 69487
2024-06-03, 796, 68191
2024-06-04, 799, 69934
2024-06-05, 800, 70131
2024-06-06, 801, 69950
2024-06-07, 799, 70904
2024-06-08, 800, 69963
2024-06-09, 801, 69550
2024-06-10, 798, 68522
2024-06-11, 796, 68060
2024-06-12, 795, 67169
2024-06-13, 790, 67415
2024-06-14, 784, 66752
2024-06-15, 782, 66179
2024-06-16, 780, 65486
2024-06-17, 781, 65734
2024-06-18, 782, 65629
2024-06-19, 783, 65337
2024-06-20, 781, 65381
2024-06-21, 782, 65192
2024-06-22, 780, 66234
2024-06-23, 780, 64976
2024-06-24, 776, 64756
2024-06-25, 774, 65746
2024-06-26, 779, 64640
2024-06-27, 778, 64140
2024-06-28, 783, 65083
2024-06-29, 794, 64573
2024-06-30, 793, 63806
2024-07-01, 794, 63431
2024-07-02, 796, 63981
2024-07-03, 801, 63839
2024-07-04, 801, 64738
2024-07-05, 808, 65097
2024-07-06, 812, 65596
2024-07-07, 810, 65468
2024-07-08, 812, 67276
2024-07-09, 814, 65179
2024-07-10, 813, 65280
2024-07-11, 816, 64881
2024-07-12, 816, 65020
2024-07-13, 815, 64945
2024-07-14, 815, 68444
2024-07-15, 814, 66431
2024-07-16, 810, 67202
2024-07-17, 810, 65155
2024-07-18, 808, 65186
2024-07-19, 809, 65559
2024-07-20, 810, 66413
2024-07-21, 807, 66463
2024-07-22, 806, 67182
2024-07-23, 806, 66659
2024-07-24, 802, 67295
2024-07-25, 799, 67882
2024-07-26, 797, 66784
2024-07-27, 798, 68601
2024-07-28, 795, 68352
2024-07-29, 793, 66487
2024-07-30, 792, 67192
2024-07-31, 789, 67970
2024-08-01, 787, 67832
2024-08-02, 787, 67758
2024-08-03, 787, 67804
2024-08-04, 786, 67919
2024-08-05, 785, 67499
2024-08-06, 786, 89240
2024-08-07, 783, 65603
2024-08-08, 786, 64365
2024-08-09, 782, 62982
2024-08-10, 782, 62877
2024-08-11, 779, 62875
2024-08-12, 775, 62125
2024-08-13, 772, 61096
2024-08-14, 773, 61026
2024-08-15, 773, 61237
2024-08-16, 775, 61411
2024-08-17, 773, 61851
2024-08-18, 776, 62728
2024-08-19, 774, 62442
2024-08-20, 775, 62435
2024-08-21, 775, 63084
2024-08-22, 773, 63191
2024-08-23, 775, 62468
2024-08-24, 776, 63372
2024-08-25, 773, 61502
2024-08-26, 772, 61289
2024-08-27, 771, 62319
2024-08-28, 767, 62471
2024-08-29, 768, 63032
2024-08-30, 765, 61712
2024-08-31, 764, 62109
2024-09-01, 766, 61413
2024-09-02, 767, 61630
2024-09-03, 768, 61841
2024-09-04, 770, 62065
2024-09-05, 769, 61675
2024-09-06, 766, 61683
2024-09-07, 767, 61134
2024-09-08, 765, 61380
2024-09-09, 764, 60229
2024-09-10, 762, 60148
2024-09-11, 762, 61134
2024-09-12, 762, 61315
2024-09-13, 763, 61326
2024-09-14, 763, 84834
2024-09-15, 762, 62121
2024-09-16, 763, 84783
2024-09-17, 761, 59694
2024-09-18, 761, 61318
2024-09-19, 761, 81685
2024-09-20, 764, 59325
2024-09-21, 761, 82519
2024-09-22, 759, 80351
2024-09-23, 759, 56728
2024-09-24, 757, 56888
2024-09-25, 758, 55599
2024-09-26, 756, 55994
2024-09-27, 760, 56003
2024-09-28, 763, 56758
2024-09-29, 764, 56349
2024-09-30, 764, 57696
2024-10-01, 764, 56307
2024-10-02, 761, 55071
2024-10-03, 763, 54533
2024-10-04, 762, 53840
2024-10-05, 765, 53417
2024-10-06, 765, 54526
2024-10-07, 764, 54428
2024-10-08, 767, 54144
2024-10-09, 775, 54129
2024-10-10, 778, 54545
2024-10-11, 779, 54863
2024-10-12, 781, 54908
2024-10-13, 779, 54211
2024-10-14, 778, 54494
2024-10-15, 780, 77332
2024-10-16, 779, 77257
2024-10-17, 778, 54970
2024-10-18, 782, 77859
2024-10-19, 784, 56199
2024-10-20, 786, 56550
2024-10-21, 786, 78601
2024-10-22, 786, 79130
2024-10-23, 786, 80000
2024-10-24, 788, 57535
2024-10-25, 795, 57033
2024-10-26, 795, 56266
2024-10-27, 798, 77469
2024-10-28, 799, 56629
2024-10-29, 802, 77660
2024-10-30, 802, 55473
2024-10-31, 802, 55473
2024-11-01, 805, 61919
2024-11-02, 804, 63818
2024-11-03, 803, 68372
2024-11-04, 802, 67551
2024-11-05, 802, 71167
2024-11-06, 801, 90492
2024-11-07, 800, 68770
2024-11-08, 799, 71545
2024-11-09, 800, 88506
2024-11-10, 801, 66094
2024-11-11, 800, 86546
2024-11-12, 797, 86739
2024-11-13, 797, 87209
2024-11-14, 793, 88721
2024-11-15, 792, 68520
2024-11-16, 787, 86395
2024-11-17, 784, 86239
2024-11-18, 779, 66871
2024-11-19, 775, 61496
2024-11-20, 770, 61224
2024-11-21, 768, 61098
2024-11-22, 765, 62117
2024-11-23, 766, 58975
2024-11-24, 763, 58846
2024-11-25, 760, 56926
2024-11-26, 753, 56346
2024-11-27, 747, 76627
2024-11-28, 747, 75995
2024-11-29, 742, 74083
2024-11-30, 742, 53275
2024-12-01, 739, 74585
2024-12-02, 737, 73900
2024-12-03, 732, 51623
2024-12-04, 729, 51907
2024-12-05, 724, 70739
2024-12-06, 725, 70150
2024-12-07, 724, 52170
2024-12-08, 721, 71472
2024-12-09, 719, 52117
2024-12-10, 717, 52744
2024-12-11, 725, 52111
2024-12-12, 727, 52017
2024-12-13, 723, 52433
2024-12-14, 727, 73078
2024-12-15, 731, 53346
2024-12-16, 731, 52724
2024-12-17, 734, 51074
2024-12-18, 734, 52039
2024-12-19, 735, 74306
2024-12-20, 737, 75716
2024-12-21, 735, 74009
2024-12-22, 737, 55126
2024-12-23, 741, 73849
2024-12-24, 739, 54118
2024-12-25, 737, 73604
2024-12-26, 738, 73663
2024-12-27, 741, 73440
2024-12-28, 741, 73794
2024-12-29, 747, 74433
2024-12-30, 749, 73400
2024-12-31, 750, 54880
2025-01-01, 748, 82479
2025-01-02, 747, 81013
2025-01-03, 743, 80555
2025-01-04, 744, 81346
2025-01-05, 747, 81448
2025-01-06, 747, 55881
2025-01-07, 750, 82157
2025-01-08, 750, 82503
2025-01-09, 743, 82066
2025-01-10, 743, 82594
2025-01-11, 741, 54633
2025-01-12, 744, 80513
2025-01-13, 739, 83453
2025-01-14, 733, 83806
2025-01-15, 733, 83779
2025-01-16, 726, 57549
2025-01-17, 724, 57339
2025-01-18, 719, 83796
2025-01-19, 718, 84585
2025-01-20, 718, 85583
2025-01-21, 719, 85500
2025-01-22, 715, 59727
2025-01-23, 706, 57101
2025-01-24, 703, 57060
2025-01-25, 701, 56002
2025-01-26, 700, 56362
2025-01-27, 700, 55855
2025-01-28, 697, 56035
2025-01-29, 697, 56316
2025-01-30, 697, 57217
2025-01-31, 689, 58598
2025-02-01, 685, 56580
2025-02-02, 678, 55226
2025-02-03, 675, 55761
2025-02-04, 675, 55177
2025-02-05, 675, 55017
2025-02-06, 674, 54891
2025-02-07, 674, 54556
2025-02-08, 673, 53965
2025-02-09, 673, 54326
2025-02-10, 668, 53814
2025-02-11, 667, 53703
2025-02-12, 665, 53476
2025-02-13, 665, 53267
2025-02-14, 666, 52835
2025-02-15, 667, 52890
2025-02-16, 664, 52765
2025-02-17, 663, 52127
2025-02-18, 663, 50797
2025-02-19, 665, 49926
2025-02-20, 662, 49697
2025-02-21, 662, 49167
2025-02-22, 661, 50366
2025-02-23, 664, 50594
2025-02-24, 668, 49781
2025-02-25, 669, 49630
2025-02-26, 675, 48935
2025-02-27, 673, 48600
2025-02-28, 673, 47708
2025-03-01, 671, 49567
2025-03-02, 670, 50044
2025-03-03, 672, 50724
2025-03-04, 670, 51383
2025-03-05, 671, 49272
2025-03-06, 672, 49711
2025-03-07, 671, 49301
2025-03-08, 670, 49184
2025-03-09, 671, 48450
2025-03-10, 673, 47979
2025-03-11, 670, 47302
2025-03-12, 671, 46664
2025-03-13, 675, 46187
2025-03-14, 674, 46153
2025-03-15, 677, 45010
2025-03-16, 678, 43467
2025-03-17, 680, 42673
2025-03-18, 682, 41842
2025-03-19, 685, 41799
2025-03-20, 683, 41467
2025-03-21, 683, 40117
2025-03-22, 683, 40066
2025-03-23, 685, 38872
2025-03-24, 684, 38690
2025-03-25, 682, 37605
2025-03-26, 682, 36601
2025-03-27, 682, 36529
2025-03-28, 679, 36700
2025-03-29, 679, 35711
2025-03-30, 679, 34869
2025-03-31, 675, 34271
2025-04-01, 677, 33045
2025-04-02, 675, 32451
2025-04-03, 673, 33296
2025-04-04, 670, 33289
2025-04-05, 669, 32537
2025-04-06, 670, 32093
2025-04-07, 672, 32837
2025-04-08, 669, 32992
2025-04-09, 673, 34130
2025-04-10, 675, 34526
2025-04-11, 672, 35197
2025-04-12, 669, 35605
2025-04-13, 670, 35803
2025-04-14, 664, 34556
2025-04-15, 665, 35819
2025-04-16, 663, 36586
2025-04-17, 663, 36465
2025-04-18, 664, 36384
2025-04-19, 663, 36505
2025-04-20, 665, 36663
2025-04-21, 665, 36658
2025-04-22, 664, 37075
2025-04-23, 669, 37654
2025-04-24, 670, 37168
2025-04-25, 670, 37497
2025-04-26, 670, 37755
2025-04-27, 672, 36382
2025-04-28, 673, 36612
2025-04-29, 673, 37585
2025-04-30, 675, 37371
2025-05-01, 677, 37582
2025-05-02, 681, 38113
2025-05-03, 678, 38388
2025-05-04, 681, 39317
2025-05-05, 682, 40038
2025-05-06, 683, 40784
2025-05-07, 684, 41082
2025-05-08, 683, 40875
2025-05-09, 686, 42854
2025-05-10, 686, 43256
2025-05-11, 686, 44296
2025-05-12, 685, 44526
2025-05-13, 682, 45543
2025-05-14, 682, 45894
2025-05-15, 679, 45846
2025-05-16, 678, 47327
2025-05-17, 676, 48733
2025-05-18, 676, 49550
2025-05-19, 675, 48472
2025-05-20, 674, 48795
2025-05-21, 671, 48522
2025-05-22, 672, 48637
2025-05-23, 671, 48873
2025-05-24, 672, 48575
2025-05-25, 675, 48509
2025-05-26, 673, 48241
2025-05-27, 669, 48343
2025-05-28, 670, 51065
2025-05-29, 672, 50361
2025-05-30, 673, 51582
2025-05-31, 670, 52022
2025-06-01, 670, 51979
2025-06-02, 669, 52196
2025-06-03, 667, 52192
2025-06-04, 671, 52044
2025-06-05, 670, 52384
2025-06-06, 670, 52316
2025-06-07, 672, 52772
2025-06-08, 672, 53103
2025-06-09, 672, 50867
2025-06-10, 668, 50410
2025-06-11, 666, 51334
2025-06-12, 668, 52687
2025-06-13, 670, 52719
2025-06-14, 670, 52192
2025-06-15, 672, 52617
2025-06-16, 674, 51695
2025-06-17, 672, 51683
2025-06-18, 672, 52278
2025-06-19, 674, 51525
2025-06-20, 675, 53010
2025-06-21, 673, 52098
2025-06-22, 673, 52107
2025-06-23, 674, 52339
2025-06-24, 675, 53232
2025-06-25, 674, 53316
2025-06-26, 674, 53156
2025-06-27, 675, 52929
2025-06-28, 676, 52323
2025-06-29, 675, 52698
2025-06-30, 675, 52650
2025-07-01, 672, 55322
2025-07-02, 672, 56699
2025-07-03, 670, 56704
2025-07-04, 670, 57017
2025-07-05, 671, 57823
2025-07-06, 670, 58483
2025-07-07, 671, 59517
2025-07-08, 671, 59249
2025-07-09, 674, 59959
2025-07-10, 674, 62976
2025-07-11, 677, 63641
2025-07-12, 674, 64402
2025-07-13, 677, 66191
2025-07-14, 681, 66558
2025-07-15, 679, 67348
2025-07-16, 683, 68433
2025-07-17, 686, 68702
2025-07-18, 686, 67260
2025-07-19, 686, 66889
2025-07-20, 683, 67824
2025-07-21, 686, 68953
2025-07-22, 688, 70045
2025-07-23, 688, 70158
2025-07-24, 690, 69833
2025-07-25, 690, 70082
2025-07-26, 691, 70890
2025-07-27, 693, 70545
2025-07-28, 693, 72029
2025-07-29, 693, 71798
2025-07-30, 696, 71941
2025-07-31, 696, 72495
2025-08-01, 696, 72109
2025-08-02, 696, 72143
2025-08-03, 697, 72067
2025-08-04, 700, 70679
2025-08-05, 701, 69771
2025-08-06, 705, 69088
2025-08-07, 703, 68598
2025-08-08, 705, 67804
2025-08-09, 715, 69270
2025-08-10, 719, 69460
2025-08-11, 719, 67371
2025-08-12, 717, 68323
2025-08-13, 716, 67879
2025-08-14, 715, 71613
2025-08-15, 714, 71749
2025-08-16, 712, 71156
2025-08-17, 710, 70179
2025-08-18, 708, 69357
2025-08-19, 712, 68800
2025-08-20, 714, 67050
2025-08-21, 716, 65419
2025-08-22, 715, 65839
2025-08-23, 713, 65748